n:  c   d   b   |c+d-b|   e   f  e+f-b   g    a  g+a-b
0:     1     2    -3      6        1     2    6      0     3    6
1:    -3     4     1      0       -1     2    0     -3     4    0
2:    -7   -10    17    -34       -5   -12  -34      0   -17  -34
3:    17   -24    -7      0        5   -12    0     17   -24    0
4:    41    58   -99    198       29    70  198      0    99  198
5:   -99   140    41      0      -29    70    0    -99   140    0
6:  -239  -338   577   -1154     -169  -408 -1154      0  -577 -1154
7:   577  -816  -239      0      169  -408    0    577  -816    0
8:  1393  1970 -3363   6726      985  2378 6726      0  3363 6726
9: -3363  4756  1393      0     -985  2378    0   -3363  4756    0
10: -8119 -11482 19601   -39202    -5741 -13860 -39202      0 -19601 -39202
11: 19601 -27720 -8119      0     5741 -13860    0   19601 -27720    0
12: 47321 66922 -114243   228486    33461 80782 228486      0 114243 228486
13: -114243 161564 47321      0    -33461 80782    0   -114243 161564    0
14: -275807 -390050 665857   -1331714    -195025 -470832 -1331714      0 -665857 -1331714
15: 665857 -941664 -275807      0    195025 -470832    0   665857 -941664    0
16: 1607521 2273378 -3880899   7761798    1136689 2744210 7761798      0 3880899 7761798
17: -3880899 5488420 1607521      0    -1136689 2744210    0   -3880899 5488420    0
18: -9369319 -13250218 22619537   -45239074    -6625109 -15994428 -45239074      0 -22619537 -45239074
19: 22619537 -31988856 -9369319      0    6625109 -15994428    0   22619537 -31988856    0
20: 54608393 77227930 -131836323   263672646    38613965 93222358 263672646      0 131836323 263672646
21: -131836323 186444716 54608393      0    -38613965 93222358    0   -131836323 186444716    0
22: -318281039 -450117362 768398401   -1536796802    -225058681 -543339720 -1536796802      0 -768398401 -1536796802
23: 768398401 -1086679440 -318281039      0    225058681 -543339720    0   768398401 -1086679440    0
24: 1855077841 2623476242 -4478554083   8957108166    1311738121 3166815962 8957108166      0 4478554083 8957108166
25: -4478554083 6333631924 1855077841      0    -1311738121 3166815962    0   -4478554083 6333631924    0
26: -10812186007 -15290740090 26102926097   -52205852194    -7645370045 -18457556052 -52205852194      0 -26102926097 -52205852194
27: 26102926097 -36915112104 -10812186007      0    7645370045 -18457556052    0   26102926097 -36915112104    0
28: 63018038201 89120964298 -152139002499   304278004998    44560482149 107578520350 304278004998      0 152139002499 304278004998
29: -152139002499 215157040700 63018038201      0    -44560482149 107578520350    0   -152139002499 215157040700    0

conjecture1 (c+d=b) failures: [0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]
conjecture2 (e+f=b) failures: [0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]
conjecture3 (g+a=b) failures: [0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]
