ok 109905    10000 lines
ok 105801     3000 lines
ok 108866     1008 lines
ok 115366       13 lines
ok 34693    20001 lines
ok 113258        7 lines
ok 113271       13 lines
ok 113609       78 lines
ok 100800       58 lines
ok 114362      159 lines
ok 114137       66 lines
ok 100475       20 lines
ok 102847       10 lines
ok 108301       29 lines
ok 109671    10003 lines
ok 113010       60 lines
ok 114216    10001 lines
ok 945       51 lines
ok 100434     1010 lines
ok 103662       40 lines
ok 104320    10003 lines
ok 105020     1335 lines
ok 105210     2007 lines
ok 109845       13 lines
ok 110566    10010 lines
ok 113250     1001 lines
ok 113252     1001 lines
ok 113255     1001 lines
ok 11545      102 lines
ok 1157    10007 lines
ok 232174    10001 lines
ok 239957    10001 lines
ok 280831    10002 lines
ok 281976    10002 lines
ok 287616    10002 lines
ok 303656   100001 lines
ok 308734    10001 lines
ok 357513       16 lines
ok 37274       49 lines
