1016 sanity graphs
done atlas0 0.1s
done atlas1 0.1s
done atlas2 0.1s
done atlas3 0.1s
done atlas4 0.1s
done atlas5 0.1s
done atlas6 0.1s
done atlas7 0.1s
done atlas8 0.1s
done atlas9 0.1s
done atlas10 0.1s
done atlas11 0.1s
done atlas12 0.1s
done atlas13 0.1s
done atlas14 0.1s
done atlas15 0.1s
done atlas16 0.1s
done atlas17 0.1s
done atlas18 0.1s
done atlas19 0.1s
done atlas20 0.1s
done atlas21 0.1s
done atlas22 0.1s
done atlas23 0.1s
done atlas24 0.1s
done atlas25 0.1s
done atlas26 0.1s
done atlas27 0.1s
done atlas28 0.1s
done atlas29 0.1s
done atlas30 0.1s
done atlas31 0.1s
done atlas32 0.1s
done atlas33 0.1s
done atlas34 0.1s
done atlas35 0.1s
done atlas36 0.1s
done atlas37 0.1s
done atlas38 0.1s
done atlas39 0.1s
done atlas40 0.1s
done atlas41 0.1s
done atlas42 0.1s
done atlas43 0.1s
done atlas44 0.1s
done atlas45 0.1s
done atlas46 0.1s
done atlas47 0.1s
done atlas48 0.1s
done atlas49 0.1s
done atlas50 0.1s
done atlas51 0.1s
done atlas52 0.1s
done atlas53 0.1s
done atlas54 0.1s
done atlas55 0.1s
done atlas56 0.1s
done atlas57 0.1s
done atlas58 0.1s
done atlas59 0.1s
done atlas60 0.1s
done atlas61 0.1s
done atlas62 0.1s
done atlas63 0.1s
done atlas64 0.1s
done atlas65 0.1s
done atlas66 0.1s
done atlas67 0.1s
done atlas68 0.1s
done atlas69 0.1s
done atlas70 0.1s
done atlas71 0.1s
done atlas72 0.1s
done atlas73 0.1s
done atlas74 0.1s
done atlas75 0.1s
done atlas76 0.1s
done atlas77 0.1s
done atlas78 0.1s
done atlas79 0.1s
done atlas80 0.1s
done atlas81 0.1s
done atlas82 0.1s
done atlas83 0.1s
done atlas84 0.1s
done atlas85 0.1s
done atlas86 0.1s
done atlas87 0.1s
done atlas88 0.2s
done atlas89 0.1s
done atlas90 0.1s
done atlas91 0.1s
done atlas92 0.1s
done atlas93 0.1s
done atlas94 0.1s
done atlas95 0.1s
done atlas96 0.1s
done atlas97 0.1s
done atlas98 0.1s
