220 open entries; 50 arsenal contexts
[1/220] id=100 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[2/220] id=103 -> HOLDS_PARTIAL (vio=0, hold=30, br=0, pf=0, un=20)
[3/220] id=108 -> HOLDS_PARTIAL (vio=0, hold=43, br=0, pf=0, un=7)
[4/220] id=111 -> VIOLATED_CANDIDATE (vio=116, hold=84, br=0, pf=0, un=0)
[5/220] id=133 -> HOLDS_PARTIAL (vio=0, hold=40, br=0, pf=0, un=10)
[6/220] id=141 -> HOLDS_PARTIAL (vio=0, hold=49, br=0, pf=0, un=1)
[7/220] id=142 -> BRACKET (vio=0, hold=84, br=14, pf=0, un=2)
[8/220] id=144 -> BRACKET (vio=0, hold=90, br=8, pf=0, un=2)
[9/220] id=145 -> BRACKET (vio=0, hold=79, br=7, pf=0, un=0)
[10/220] id=146 -> BRACKET (vio=0, hold=86, br=14, pf=0, un=0)
[11/220] id=154 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[12/220] id=155 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[13/220] id=157 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[14/220] id=160 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[15/220] id=161 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[16/220] id=162 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[17/220] id=165 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[18/220] id=166 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[19/220] id=169 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[20/220] id=171 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[21/220] id=172 -> HOLDS (vio=0, hold=100, br=0, pf=0, un=0)
[22/220] id=174 -> BRACKET (vio=0, hold=45, br=4, pf=0, un=1)
[23/220] id=176 -> BRACKET (vio=0, hold=46, br=3, pf=0, un=1)
[24/220] id=177 -> HOLDS_PARTIAL (vio=0, hold=49, br=0, pf=0, un=1)
[25/220] id=178 -> HOLDS_PARTIAL (vio=0, hold=49, br=0, pf=0, un=1)
[26/220] id=179 -> HOLDS_PARTIAL (vio=0, hold=49, br=0, pf=0, un=1)
[27/220] id=180 -> BRACKET (vio=0, hold=48, br=1, pf=0, un=1)
[28/220] id=181 -> BRACKET (vio=0, hold=47, br=2, pf=0, un=1)
[29/220] id=182 -> BRACKET (vio=0, hold=46, br=3, pf=0, un=1)
[30/220] id=183 -> BRACKET (vio=0, hold=46, br=3, pf=0, un=1)
[31/220] id=184 -> BRACKET (vio=0, hold=93, br=5, pf=0, un=2)
[32/220] id=185 -> BRACKET (vio=0, hold=46, br=3, pf=0, un=1)
[33/220] id=186 -> HOLDS_PARTIAL (vio=0, hold=98, br=0, pf=0, un=2)
[34/220] id=189 -> HOLDS (vio=0, hold=35, br=0, pf=15, un=0)
[35/220] id=19 -> HOLDS_PARTIAL (vio=0, hold=60, br=0, pf=0, un=40)
[36/220] id=190 -> HOLDS (vio=0, hold=33, br=0, pf=17, un=0)
[37/220] id=194 -> BRACKET (vio=0, hold=34, br=1, pf=15, un=0)
[38/220] id=198a -> BRACKET (vio=0, hold=8, br=20, pf=22, un=0)
[39/220] id=199 -> BRACKET (vio=0, hold=42, br=8, pf=0, un=0)
[40/220] id=2 -> BRACKET (vio=0, hold=148, br=2, pf=0, un=0)
[41/220] id=200 -> BRACKET (vio=0, hold=21, br=7, pf=22, un=0)
[42/220] id=209 -> HOLDS (vio=0, hold=17, br=0, pf=33, un=0)
[43/220] id=213 -> HOLDS (vio=0, hold=16, br=0, pf=34, un=0)
[44/220] id=217 -> BRACKET (vio=0, hold=48, br=2, pf=0, un=0)
[45/220] id=232 -> BRACKET (vio=0, hold=0, br=100, pf=0, un=0)
[46/220] id=233 -> BRACKET (vio=0, hold=0, br=100, pf=0, un=0)
[47/220] id=235 -> VIOLATED_CANDIDATE (vio=3, hold=0, br=97, pf=0, un=0)
[48/220] id=241 -> BRACKET (vio=0, hold=0, br=50, pf=0, un=0)
[49/220] id=242 -> BRACKET (vio=0, hold=0, br=50, pf=0, un=0)
[50/220] id=247 -> BRACKET (vio=0, hold=0, br=48, pf=0, un=2)
[51/220] id=252 -> VIOLATED_CANDIDATE (vio=48, hold=0, br=2, pf=0, un=0)
[52/220] id=253 -> VIOLATED_CANDIDATE (vio=49, hold=0, br=1, pf=0, un=0)
[53/220] id=255 -> VIOLATED_CANDIDATE (vio=12, hold=0, br=38, pf=0, un=0)
[54/220] id=256 -> VIOLATED_CANDIDATE (vio=18, hold=0, br=32, pf=0, un=0)
[55/220] id=258 -> BRACKET (vio=0, hold=0, br=1, pf=0, un=49)
[56/220] id=259 -> BRACKET (vio=0, hold=0, br=1, pf=0, un=49)
[57/220] id=260 -> BRACKET (vio=0, hold=0, br=1, pf=0, un=49)
[58/220] id=261 -> BRACKET (vio=0, hold=0, br=1, pf=0, un=49)
[59/220] id=267 -> BRACKET (vio=0, hold=0, br=57, pf=0, un=43)
[60/220] id=268 -> BRACKET (vio=0, hold=0, br=50, pf=0, un=0)
[61/220] id=269 -> VIOLATED_CANDIDATE (vio=9, hold=0, br=41, pf=0, un=0)
[62/220] id=271 -> BRACKET (vio=0, hold=0, br=50, pf=0, un=0)
[63/220] id=281 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[64/220] id=287 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[65/220] id=290 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[66/220] id=291 -> BRACKET (vio=0, hold=99, br=1, pf=0, un=0)
[67/220] id=298 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[68/220] id=299 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[69/220] id=300 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[70/220] id=302 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[71/220] id=304 -> BRACKET (vio=0, hold=49, br=1, pf=0, un=0)
[72/220] id=305 -> BRACKET (vio=0, hold=34, br=16, pf=0, un=0)
[73/220] id=308 -> BRACKET (vio=0, hold=49, br=1, pf=0, un=0)
[74/220] id=309 -> BRACKET (vio=0, hold=7, br=43, pf=0, un=0)
[75/220] id=310 -> HOLDS (vio=0, hold=50, br=0, pf=0, un=0)
[76/220] id=314 -> BRACKET (vio=0, hold=0, br=10, pf=40, un=0)
[77/220] id=316 -> BRACKET (vio=0, hold=0, br=1, pf=49, un=0)
[78/220] id=317 -> BRACKET (vio=0, hold=0, br=12, pf=38, un=0)
[79/220] id=318 -> BRACKET (vio=0, hold=0, br=3, pf=47, un=0)
